Layer1,Layer2,RMSE,MAE,NRMSE,NMAE,R2
8,4,96.82584435935658,20.482289467988668,0.01936516886799828,0.004096457892778442,0.7969688892656082
8,8,50.65231977213201,11.209643936884891,0.010130463952400309,0.0022419287869285924,0.9839557976657888
16,8,82.34999950548271,17.017081453781522,0.016469999897802543,0.003403416290075621,0.9607043183354913
16,16,71.36747772432643,15.67065338931231,0.014273495542010586,0.003134130677235636,0.9454431929053786
32,16,74.87684713979544,14.951346119869694,0.014975369424964014,0.002990269223375885,0.962359100838173
32,32,53.70636897036047,12.207788626772695,0.01074127379192384,0.0024415577248662274,0.9784648349281475
64,32,62.26654352160934,13.933069477529836,0.012453308701831206,0.002786613894948644,0.9500738321334848
64,64,62.137163411833704,12.324703224274822,0.012427432679881254,0.002464940644361976,0.9649202782236737
