Layer1,Layer2,RMSE,MAE,NRMSE,NMAE,R2
8,4,40.91416750122651,11.737124998774863,0.008182833498608735,0.0023474249992854876,0.9813208918194796
8,8,28.889106246509602,7.4101167537265935,0.005777821248146356,0.0014820233504489139,0.9927888565413656
16,8,45.458561200882016,10.96152559413357,0.00909171223835806,0.002192305118388253,0.9792525998990401
16,16,25.793666675873585,6.621754076029292,0.00515873333414297,0.0013243508149409881,0.9920375662631725
32,16,29.93121183804086,7.6285500780815,0.0059862423664109226,0.001525710015311158,0.9726412535011241
32,32,45.08117767685316,10.90601426846433,0.009016235533567384,0.0021812028532566252,0.961508275907156
64,32,29.4707312375427,7.428981162218653,0.00589414624632971,0.0014857962321465712,0.9927625975281741
64,64,24.818955018701224,7.206479513017845,0.004963791002747487,0.0014412959023153097,0.9917284159044002
