Layer1,Layer2,RMSE,RMSE_std,MAE,MAE_std,NRMSE,NRMSE_std,NMAE,NMAE_std,R2,R2_std
8,4,40.91416750122651,30.709556438656513,11.737124998774863,6.3636856482160065,0.008182833498608735,0.00614191128650292,0.0023474249992854876,0.0012727371293886538,0.9813208918194796,0.026367789734156703
8,8,28.889106246509602,25.01947163990134,7.4101167537265935,5.121896475200033,0.005777821248146356,0.005003894326979489,0.0014820233504489139,0.0010243792948351307,0.9927888565413656,0.0054011046267966765
16,8,45.458561200882016,24.376699689372444,10.96152559413357,3.4521855569695186,0.00909171223835806,0.00487533993689942,0.002192305118388253,0.0006904371112558162,0.9792525998990401,0.013580528829148142
16,16,25.793666675873585,22.468608999142585,6.621754076029292,2.2278105971879025,0.00515873333414297,0.004493721798929772,0.0013243508149409881,0.00044556211934846805,0.9920375662631725,0.009116611755005175
32,16,29.93121183804086,19.91350706352087,7.6285500780815,3.6891397635887033,0.0059862423664109226,0.003982701411907634,0.001525710015311158,0.000737827952570175,0.9726412535011241,0.04795621585385617
32,32,45.08117767685316,19.43563071295225,10.90601426846433,2.4441175344426154,0.009016235533567384,0.0038871261418130243,0.0021812028532566252,0.0004888235067907583,0.961508275907156,0.049442382539806984
64,32,29.4707312375427,24.01664693817505,7.428981162218653,3.115579647739021,0.00589414624632971,0.004803329386674344,0.0014857962321465712,0.0006231159294231809,0.9927625975281741,0.006664677447029428
64,64,24.818955018701224,17.87773521157561,7.206479513017845,5.237714350006896,0.004963791002747487,0.0035755470416000126,0.0014412959023153097,0.0010475428697918705,0.9917284159044002,0.010281592617662365
